Название (App Store),Комментарий,App ID,Bundle ID,Разработчик,Версия,Мин. iOS,iOS,iPadOS,Размер (МБ),Добавлено,RU,TR,IN,US,KZ,AM,AZ,BY,KG,TJ,TM,UA,UZ,DE,EE,FR,IT,LT,LV,PL,HK,CN,TW,BR,CA,GE,IL,JP,ZA
2GIS Immersive,,6476902378,ru.doublegis.immersive.vision,"LLC ""DoubleGIS""",1.1,1.0,✗,✗,474.2,14.09.2026,✓,✓,✗,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
"2ГИС: карты, навигатор, друзья",,481627348,ru.doublegis.grymmobile,"LLC ""DoubleGIS""",7.28,16.0,✓,✓,425.3,14.09.2026,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✗,✓,✗,✗,✓
AmneziaWG,VPN App,6478942365,org.amnezia.awg,Privacy Technologies,3.1.4,15.0,✓,✓,33.6,08.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Beeline Partner,,1482109390,ru.beeline.partner,PJSC VimpelCom,123.1,13.0,✓,✓,91.6,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
BeeTrack,,6443979908,ru.beeline.beetrack,PJSC VimpelCom,4.5.4.1114,13.0,✓,✓,111.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
BeeTrack Tracker,,6449971471,ru.beeline.beetrack.tracker,PJSC VimpelCom,4.5.4.1114,13.0,✓,✓,111.1,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗
BillFO,Газпром Инвестиции,6759976509,ru.billfo.mobile,Evgeniy Pavlichenkov,1.159.21,15.1,✓,✓,135.2,28.08.2026,✓,✓,✗,✗,✓,✓,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Breathio - mindful breathing,Точка Банк,6748306805,io.breath.app,Samantha Bradley,1.11,17.0,✓,✓,28.9,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Buzz,,6755870589,ru.beeline.messengerx,PJSC VimpelCom,3.72,16.6,✓,✓,448.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓
Chatzone,,1627731495,ru.ozon.chatzone,OZON.ru,3.31.3,15.5,✓,✓,83.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
DIKIDI Business,,997282718,ru.dikidi.beauty.admin,Direct Cursus Computer Systems Trading,4.3.8,16.0,✓,✓,169.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✗,✓
DIKIDI Online,,957691480,ru.dikidi,Direct Cursus Computer Systems Trading,4.6.5,17.0,✓,✓,45.6,28.08.2026,✓,✗,✗,✗,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Dixy GIS,,1515140681,com.CPI.DixyGIS,DIXY,1.0.15,10.0,✓,✓,78.0,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
DriveM,,6743110060,ru.magnit.drivem,ЗАО Тандер,3.10.1,15.6,✓,✓,87.1,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Express24: taom va do‘konlar,,1367143501,com.uznewmax.theflash,Mikromobilnost doo,8.88.0,16.0,✓,✓,340.0,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Fasten Belarus: Заказ такси,,1447876061,ru.yandex.uber-by,"KRONOS, OOO",700.157.3,16.0,✓,✓,405.3,14.09.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Fasten Russia: Заказ такси,,1438528886,ru.yandex.uber,"KRONOS, OOO",700.157.3,16.0,✓,✓,405.0,14.09.2026,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✗,✓,✓,✗,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FOOD-DRIVE,,1552227111,ru.amio.food-drive,X5 Retail Group,1.0.3,11.4,✓,✓,81.1,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Food.ru: пошаговые фоторецепты,,1568506349,ru.x5.foodru,X5 Retail Group,02.23.00,17.0,✓,✓,113.3,14.09.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✓,✗,✗
FuellnTime,Т-Инвестиции,6799090729,com.ivars.fueltime,IVARS NORMUNDS BALODIS,1.3,16.0,✓,✓,231.3,08.09.2026,✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗,✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026),✗ (09.09.2026)
GPSRecorder,,6781601356,ru.doublegis.GPSRecorder,"LLC ""DoubleGIS""",1.0.0,18.0,✓,✓,7.5,14.09.2026,✓,✗,✗,✗,✓,✓,✓,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Happ Lite,VPN App,6799917773,su.ffg.happ.lite,Flyfrog LLC,5.8.1,15.0,✓,✓,343.5,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
HealthFlow - Помощник здоровья,Альфа Страхование,6756132649,com.itsportliver.health,IT SPORT LIVER< MCHJ,3.71.0,17.1,✓,✓,47.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓
incy,VPN App,6756943388,llc.itdev.incy,LLC ITDEV,2.6.1,15.0,✓,✓,178.5,08.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
KLASTA,,6758207829,ru.mts.klasta.ios.app,Mobile TeleSystems Public Joint Stock Company,1.5.0 (2),17.0,✓,✓,126.5,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
LoCo: поездки по городу,,6773791408,com.loco.rider,Mikromobilnost doo,1.34.0,13.0,✓,✓,51.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
LunarCode,Новикомбанк,6764754827,com.kozunpartners.nightcode,Kozun & Partners,1.10.7,12.0,✓,✓,30.3,28.08.2026,✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗,✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026),✗ (07.09.2026)
Menu.am - Доставка еды,,991535987,am.menu.app,Mikromobilnost doo,8.60.0,16.0,✓,✓,279.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Metro–live,,1457817571,ru.mosmetro.livephoto,ГУП Московский Метрополитен,1.1,11.3,✓,✓,44.4,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
MTS Remote play,,1627685267,ru.mts.remoteplay,Mobile TeleSystems Public Joint Stock Company,1.2.1,15.0,✓,✓,15.3,14.09.2026,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
myteam: приложение для команды,,1529848430,ru.wildberries.WBTeam2,WB FZE,5.1.1,16.0,✓,✓,148.5,28.08.2026,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✗,✗,✓,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗,✗,✓,✗,✗
Namba Food - сервис доставки,,1025646714,kg.namba.nambafood,Mikromobilnost doo,3.0.1,12.0,✓,✓,80.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Ozon Check: Агенты,,6742407316,ru.ozon.fintech.check,"OZON MARKETPLEIS KAZAKHSTAN, TOO",19.27.0,15.0,✓,✓,201.8,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓
Ozon fresh,,6745182892,ru.ozon.fresh,OZON.ru,19.34.0,15.0,✓,✓,410.2,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
Ozon Job,,6498711171,ru.ozon.hire.app,OZON.ru,2.28.0,16.0,✓,✓,326.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
Ozon Profit,,6753204673,ru.ozon.profit,OZON.ru,1.12.0,15.0,✓,✓,240.6,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Ozon Seller: для продавцов,,1501167158,ru.ozon.sellerApp,OZON.ru,4.34.0,15.0,✓,✓,607.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
"Ozon Travel: Отели, Авиа и ЖД",,959592459,travel.ozon.mobile,OZON.ru,19.34.0,15.0,✓,✓,352.5,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
Ozon Банк,,1629869891,ru.ozon.fintech.finance,"OZON MARKETPLEIS KAZAKHSTAN, TOO",19.27.0,15.0,✓,✓,252.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓
Ozon Банк для бизнеса,,1601989299,ru.ozon.fintech.sme,"OZON MARKETPLEIS KAZAKHSTAN, TOO",19.27.0,15.0,✓,✓,249.4,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓
Ozon Курьер Экспресс,,6458101936,ru.ozon.flex.app,OZON.ru,1.89.0,15.0,✓,✓,382.6,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Ozon Селект: брендовые товары,,6745216294,ru.ozon.select,OZON.ru,19.34.0,15.0,✓,✓,402.9,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗ (10.09.2026),✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
"OZON: товары, одежда, билеты",,407804998,ru.ozon.OzonStore,OZON.ru,19.34.0,15.0,✓,✓,421.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓
PianoWave,Premier,6773297506,com.pianowave.musicgame,ANDREAS GEORGIOU,1.2.0,16.0,✓,✓,82.7,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗
Pink Taxi Nova,,6749844127,com.pink.rider,Mikromobilnost doo,1.31.1,13.0,✓,✓,52.3,28.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ruID,,6745255593,com.minsvyaz.gosuslugi.ruid,Минкомсвязь РФ,1.8.1,15.0,✓,✓,66.1,27.08.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Shadowrocket,VPN App,932747118,com.liguangming.Shadowrocket,Shadow Launch Technology Limited,2.2.92,13.0,✓,✓,53.0,08.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
sing-box MT,VPN App,6785326793,io.nekohasekai.sfamt,Metamerism LLC,1.14.4,15.0,✓,✓,91.5,08.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓
SlicingDices,Rutube,6766530710,com.slicingdice.game,Tyler Diaz,1.3.0,16.0,✓,✓,66.1,28.08.2026,✓,✗,✗,✗,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Starship Battle: Commander,Rutube,6760892177,com.starshipBattle.commander,Adriano Fontana,1.5.0,16.0,✓,✓,112.4,28.08.2026,✓,✓,✗,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✓,✗,✗,✗
Tag,,6749683991,ru.magnit.tag,ЗАО Тандер,2.1,16.0,✓,✓,106.8,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Travel — Отели и авиабилеты,,1292213934,ru.aviasales.travel,Go Travel Un Limited,1.2.2,9.0,✓,✓,147.7,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Travelpayouts,,1117826579,com.travelpayouts,Go Travel Un Limited,3.5.1,14.0,✓,✓,51.5,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
UZTV: ТВ онлайн,,1557439443,com.spbtv.tv.ntrk,PJSC VimpelCom,1.19.2,12.0,✓,✓,49.6,14.09.2026,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
